n,naive,optimized1,optimized2,optimized3
2048,4.545,4.543,4.536,4.544
4096,8.514,8.503,8.699,8.592
8192,16.635,15.887,16.78,15.684
16384,33.37,33.095,33.451,33.425
32768,69.502,69.412,69.447,67.014
65536,141.856,140.081,140.942,139.275
